slow_ema,fast_ema,perf
1,2,9.131997242409852e-25
1,3,5.288680299429812e-21
2,3,1.6055106727911358e-15
1,4,1.3391779394020088e-18
2,4,2.208434959830275e-13
3,4,1.0058681035601469e-10
1,5,5.0069613231751636e-17
2,5,5.4120716676017565e-12
3,5,1.656961767061783e-09
4,5,4.0108758000416066e-08
1,6,1.9016954883172774e-15
2,6,8.433973738320913e-11
3,6,1.4633421697399102e-08
4,6,4.684632894014734e-07
5,6,5.95854663666773e-06
1,7,2.075421098696311e-14
2,7,4.785757955400349e-10
3,7,8.815993988873097e-08
4,7,2.72143667063366e-06
5,7,1.9405208169730333e-05
6,7,8.245266439588555e-05
1,8,1.6825786875059442e-13
2,8,2.7055862900492886e-09
3,8,4.6011197442114835e-07
4,8,8.535106019131308e-06
5,8,6.727045585964583e-05
6,8,0.00018589513619851413
7,8,0.00042558434419581265
1,9,1.1300217815415976e-12
2,9,1.6156918708727747e-08
3,9,1.6183730580360261e-06
4,9,2.8912187592600864e-05
5,9,0.0001350517226773006
6,9,0.0003158588293985777
7,9,0.0007309927981343187
8,9,0.0017974028276387989
1,10,5.64167054717451e-12
2,10,5.2813882189416606e-08
3,10,4.435889318752539e-06
4,10,5.156845033304972e-05
5,10,0.00019412233002355487
6,10,0.000579435796082999
7,10,0.0015686443087669787
8,10,0.0024346345634623547
9,10,0.004313222334817457
1,11,2.367262647185301e-11
2,11,1.8315958853136216e-07
3,11,1.0026541018289246e-05
4,11,9.872890283555331e-05
5,11,0.0003344181378545929
6,11,0.0010289448859102169
7,11,0.0018880001823387256
8,11,0.0040039116467901325
9,11,0.008828191031010658
10,11,0.016760707232798648
1,12,1.0854150386117659e-10
2,12,4.462554942224051e-07
3,12,1.857479076086446e-05
4,12,0.00015061125506949288
5,12,0.000451588376018438
6,12,0.0013563956258391269
7,12,0.0032439004392803466
8,12,0.006570780879907912
9,12,0.01484002578822146
10,12,0.026663364015094736
11,12,0.0456999207829075
1,13,3.085828491212296e-10
2,13,8.423236503487075e-07
3,13,3.255575875949717e-05
4,13,0.0002071079420610442
5,13,0.0007655718517173594
6,13,0.002141464530848706
7,13,0.005076991638588085
8,13,0.011612022124934016
9,13,0.02446654620053708
10,13,0.04224375579000284
11,13,0.05898637166035998
12,13,0.08015101294313706
1,14,8.479459330497442e-10
2,14,1.8132783159737443e-06
3,14,5.085976530300492e-05
4,14,0.00027928267131331955
5,14,0.001190490861251794
6,14,0.002595094021633849
7,14,0.006785388668956759
8,14,0.016705664406334086
9,14,0.03418799357997818
10,14,0.05203486214296728
11,14,0.08240279566099266
12,14,0.11852822750867535
13,14,0.17264321405825836
1,15,3.114215934314453e-09
2,15,3.335112572916412e-06
3,15,8.551641043439833e-05
4,15,0.0004052180186699034
5,15,0.001813304875573362
6,15,0.0033754194030121685
7,15,0.010284765037253934
8,15,0.024745743089781468
9,15,0.0487649133321102
10,15,0.07271839129738564
11,15,0.11014007580787134
12,15,0.1684867746892258
13,15,0.19801511749057996
14,15,0.30368199211605384
1,16,6.105239007364099e-09
2,16,5.799743064659392e-06
3,16,0.0001380063197507921
4,16,0.0006372947869706896
5,16,0.0018022441557506547
6,16,0.0059713322217566055
7,16,0.01813442401852728
8,16,0.04140477075465672
9,16,0.06063021107125176
10,16,0.10442366636718536
11,16,0.14174899037986985
12,16,0.20568471387366338
13,16,0.29424891702092265
14,16,0.2927352372125209
15,16,0.2552161999525454
1,17,1.309928488026209e-08
2,17,8.163191555881811e-06
3,17,0.00019044687033090366
4,17,0.0007792282824598084
5,17,0.0025350005323575464
6,17,0.00854040898334607
7,17,0.027786311560714927
8,17,0.042053288745620046
9,17,0.07808400296498152
10,17,0.1210999723757595
11,17,0.1853183254801521
12,17,0.2673506057144801
13,17,0.27256353342621914
14,17,0.2497335032666333
15,17,0.3545550806091551
16,17,0.500370280263874
1,18,3.176664054805609e-08
2,18,1.567705375410604e-05
3,18,0.00026009035967593615
4,18,0.0012795247000034272
5,18,0.00419334990124299
6,18,0.012287158922598872
7,18,0.040559401963297353
8,18,0.061874911197399615
9,18,0.11386219923073608
10,18,0.16708419586436987
11,18,0.23874215290117395
12,18,0.28511793322210943
13,18,0.2793469120534519
14,18,0.3360118535470979
15,18,0.48207450062029633
16,18,0.692676368829573
17,18,0.880712616716528
1,19,4.583591245662134e-08
2,19,2.153708170409711e-05
3,19,0.00038009493100987275
4,19,0.0018904238227395874
5,19,0.006247179782072662
6,19,0.01849768565310336
7,19,0.04430213860432514
8,19,0.09079001851125425
9,19,0.14583850139657709
10,19,0.20084332221920886
11,19,0.26478731233051755
12,19,0.29379865585331505
13,19,0.31458754917336657
14,19,0.44735599747794397
15,19,0.6452033985298439
16,19,0.8305990804398337
17,19,1.1458176351527638
18,19,1.166468071424329
1,20,8.77079591529436e-08
2,20,2.7987080692943645e-05
3,20,0.0005913002877766251
4,20,0.0025320118539926178
5,20,0.010617353770177768
6,20,0.0336189557798469
7,20,0.05912549457437251
8,20,0.13122065068374375
9,20,0.1870768594201255
10,20,0.22969345060270127
11,20,0.2963030563333516
12,20,0.2857587715615541
13,20,0.4394919289757955
14,20,0.5924536967671953
15,20,0.8188081155427583
16,20,1.0521669775775166
17,20,1.1412284518486655
18,20,1.284338527436008
19,20,1.740454013741989
1,21,1.4816827661016863e-07
2,21,4.6330215599243684e-05
3,21,0.0007824554484309176
4,21,0.0035338257142886933
5,21,0.012740002110922457
6,21,0.038889577162750544
7,21,0.10746262712618278
8,21,0.14922121384443943
9,21,0.19269275148314888
10,21,0.2518053912630096
11,21,0.29059725133184183
12,21,0.43102778014498816
13,21,0.5145341941116864
14,21,0.746976027843686
15,21,0.9451612200692626
16,21,1.1585458043229948
17,21,1.3241334539166532
18,21,1.6665575158239685
19,21,2.1915618759798656
20,21,2.9894741778343814
1,22,2.3015479404148604e-07
2,22,9.201799860186859e-05
3,22,0.0010312926236115134
4,22,0.004502183486488834
5,22,0.01933311554199249
6,22,0.0579652349462528
7,22,0.13575223144835152
8,22,0.17098971126134252
9,22,0.22478878899345445
10,22,0.258330440008693
11,22,0.36992470694432156
12,22,0.48102940600637567
13,22,0.6069131814417792
14,22,0.98653340457016
15,22,1.191769877003073
16,22,1.3067444067401728
17,22,1.5961277724982792
18,22,2.215426641186639
19,22,2.981266404415395
20,22,3.7460109749408295
21,22,4.053585568729712
1,23,3.463397687725912e-07
2,23,0.00011792117553440464
3,23,0.0011709049976320266
4,23,0.007686833764081822
5,23,0.03253931869144241
6,23,0.08152368668641233
7,23,0.1328057238265104
8,23,0.20899674772136337
9,23,0.24317643809439898
10,23,0.3582911681497746
11,23,0.4605952246535493
12,23,0.5198153303724379
13,23,0.971707481385444
14,23,1.1161649061766947
15,23,1.2798915385926188
